source,destination,language,status_code
/academics/college-business/departments-programs/accounting-finance/explore-opportunities/,/academics/college-business/departments-programs/accounting-and-finance-department,en,301
/academics/college-business/departments-programs/accounting-finance/explore-opportunities/study-abroad-national-student-exchange/,/academics/college-business/departments-programs/accounting-and-finance-department,en,301
/activities-involvement-leadership/about/,/offices-services/activities-involvement-leadership/about-activities-involvement-leadership,en,301
/activities-involvement-leadership/,/offices-services/activities-involvement-leadership,en,301
/activities-involvement-leadership/leadership/advanced-leadership-seminar/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail/advanced,en,301
/activities-involvement-leadership/staff/,/offices-services/activities-involvement-leadership/about-activities-involvement-and-leadership/ail,en,301
/activities-involvement-leadership/alternative-breaks/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail-6,en,301
/activities-involvement-leadership/leadership/alternative-spring-break/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail-4,en,301
/activities-involvement-leadership/alternative-breaks/alternative-winter-break/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail/alternative,en,301
/activities-involvement-leadership/programs-events/artist-series/,/offices-services/activities-involvement-leadership/events-programs/artists-series,en,301
/activities-involvement-leadership/programs-events/blus-organizations-bash/,/offices-services/activities-involvement-leadership/student-organizations-uwec/blus-organizations,en,301
/activities-involvement-leadership/leadership/blugolds-better/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail/blugolds,en,301
/activities-involvement-leadership/uwec-greek-life/chapters-councils/,/offices-services/activities-involvement-leadership/uwec-greek-life/greek-life-chapters-and-councils,en,301
/activities-involvement-leadership/leadership/diverse-voices-book-challenge/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail-5,en,301
/activities-involvement-leadership/programs-events/,/offices-services/activities-involvement-leadership/events-programs-sponsored-ail,en,301
/activities-involvement-leadership/leadership/future-student-affairs-professionals-program/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail/future,en,301
/activities-involvement-leadership/uwec-greek-life/greek-glossary/,/offices-services/activities-involvement-leadership/uwec-greek-life/greek-glossary,en,301
/activities-involvement-leadership/uwec-greek-life/greek-life-faqs/,/offices-services/activities-involvement-leadership/uwec-greek-life/greek-life-faqs,en,301
/activities-involvement-leadership/uwec-greek-life/resources-reports/,/offices-services/activities-involvement-leadership/uwec-greek-life/greek-resources-reports,en,301
/activities-involvement-leadership/uwec-greek-life/greek-week/,/offices-services/activities-involvement-leadership/uwec-greek-life/greek-week,en,301
/activities-involvement-leadership/programs-events/international-film-society/,/offices-services/activities-involvement-leadership/events-programs/international-film-society,en,301
/activities-involvement-leadership/leadership/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail,en,301
/activities-involvement-leadership/leadership/leadership-library/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail-1,en,301
/activities-involvement-leadership/leadership/leadership-library-book-directory/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail-0,en,301
/activities-involvement-leadership/leadership/leadership-seminar-series/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail/leadership,en,301
/activities-involvement-leadership/leadership/leadership-workshops/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail-3,en,301
/activities-involvement-leadership/uwec-greek-life/order-omega/,/offices-services/activities-involvement-leadership/uwec-greek-life/order-omega,en,301
/activities-involvement-leadership/programs-events/the-forum/our-partners/,https://test-uwec.pantheonsite.io/offices-services/activities-involvement-leadership/events-programs/forum-we-bring-world-you,en,301
/activities-involvement-leadership/uwec-greek-life/recruitment/,/offices-services/activities-involvement-leadership/uwec-greek-life/greek-life-recruitment,en,301
/activities-involvement-leadership/student-clubs-organizations/search-organizations/,/offices-services/activities-involvement-leadership/student-organizations-uwec/search-uwec-student,en,301
/activities-involvement-leadership/volunteer-network/service-learning-volunteer-network/,/offices-services/activities-involvement-leadership/volunteer-network/service-learning-volunteer,en,301
/activities-involvement-leadership/leadership/student-edi-development/,/offices-services/center-edi-training-development-and-education/student-edi-development,en,301
/activities-involvement-leadership/student-clubs-organizations/student-organization-registration-processes/,/offices-services/activities-involvement-leadership/student-organizations-uwec/student-organization,en,301
/activities-involvement-leadership/student-clubs-organizations/student-organization-resources/,/offices-services/activities-involvement-leadership/student-organizations-uwec/student-0,en,301
/activities-involvement-leadership/student-clubs-organizations/,/offices-services/activities-involvement-leadership/student-organizations-uwec,en,301
/activities-involvement-leadership/programs-events/summer-events/,/offices-services/activities-involvement-leadership/events-programs/summer-events-sponsored-ail,en,301
/activities-involvement-leadership/leadership/leadership-library/team-building-training-resources/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail-2,en,301
/activities-involvement-leadership/programs-events/the-forum/forum-tradition/,https://test-uwec.pantheonsite.io/offices-services/activities-involvement-leadership/events-programs/forum/tradition,en,301
/activities-involvement-leadership/programs-events/the-forum/,https://test-uwec.pantheonsite.io/offices-services/activities-involvement-leadership/events-programs/forum,en,301
/activities-involvement-leadership/leadership/the-happiness-project/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail/happiness,en,301
/activities-involvement-leadership/leadership/university-student-excellence-awards/,/offices-services/activities-involvement-leadership/leadership-opportunities-through-ail/university,en,301
/activities-involvement-leadership/uwec-greek-life/,/offices-services/activities-involvement-leadership/uwec-greek-life,en,301
/activities-involvement-leadership/volunteer-network/,/offices-services/activities-involvement-leadership/volunteer-network,en,301
/activities-involvement-leadership/uwec-greek-life/welcome-letter/,/offices-services/activities-involvement-leadership/uwec-greek-life/welcome-greek-life,en,301
/admissions/contact-us/admissions-counselors/,/apply/contact-admissions/admissions-counselors,en,301
/admissions/first-year-student/after-admitted/,/apply/first-year-student/admitted-first-year-student,en,301
/admissions/graduate/after-admitted/,/apply/graduate-student/admitted-graduate-student,en,301
/admissions/high-school-special-student/admitted-high-school-special-student/,/apply/high-school-special-student/admitted-high-school-special-student,en,301
/admissions/international-students/international-student-application/after-admitted/,/apply/international-students/admitted-international-student,en,301
/admissions/transfer-student/after-admitted/,/apply/transfer-student/admitted-transfer-student,en,301
/admissions/apply/check-app-status/,/apply/uwec-application/application-status,en,301
/admissions/apply/,/apply,en,301
/admissions/visit/campus-ambassadors/,/apply/contact-admissions/campus-ambassadors,en,301
/admissions/contact-us/,/apply/contact-admissions,en,301
/admissions/apply/deferring-admission/,/apply/uwec-application/deferring-admission,en,301
/admissions/apply/deposit/,/apply/uwec-application/deposits,en,301
/admissions/first-year-student/faqs/,/apply/first-year-student/faqs-first-year-students,en,301
/admissions/other-student/faqs-non-degree-seeking-students/,/apply/other-student/faqs-non-degree-seeking-students,en,301
